id,name,comment,label
39,Tung Anh,"Như thế là cân kèo r! Rau suốt kiếp làm nền nên tác giả đun đít truck lên coi như cũng là công bằng! Giờ map có 5 th saiyan tính cả broly là 6 chưa kể sau này còn bao anh hùng hào kiệt như picolo tủ lạnh, buu hoán sinh, các thần còn chưa đc loé sáng! 3 ông con goku ăn cả thì còn gì là thú vị nữa!",0
40,Thành Tính,Có cái ghét là cứ spam cái vụ hợp thể thất bại của 2 đứa quài,0
41,Cường Đặng,"Nếu là mình, mình sẽ cho 2 nhóc Trunk và Goten tham gia giải đấu sức mạnh, vô trận 2 nhóc sẽ thể hiện sức mạnh lẫn trí tuệ, tạo bất ngờ cho đọc giả lẫn 2 ông bố thấy thời gian dài qua 2 nhóc vẫn nghiêm túc tập luyện với nhau.",0
42,Kẹo Ngọt,đù nhóc này vận khí phát lên supersayza luôn mà tội cái không biết bay ,0
43,Trung Dũng Trần,"Mình rất thích Goten hơn cả a trai Gohan. Tuy xuất hiện thoáng qua 1 chút sau khi Trái đất hòa bình trở lại (đấu với Cell và Goku hy sinh) nhưng hình ảnh Goten rất giống với Goku ngày bé. Ấn tượng là khả năng biến hình siêu xayda rất sớm mà ko cần tức giận (làm dễ như ăn kẹo), ngoan ngoãn, trong sáng, dễ thương. Cứ nghĩ sẽ có nhiều đất diễn cơ. Đến đoạn hậu Mabu thì còn nói Goten bỏ bê, ko thường xuyên luyện võ thì mình buồn hẳn. Ko muốn nói nữa",0
44,Tân Tồ,"Khó, sức mạnh thì bình thường,  tính cách cũng ko có gì hay,  lại phải đi theo cặp với thằng Trunk nhỏ,  tuy nhiên nếu thích thì fanmade vẫn đáp ứng được cho người đọc bằng bộ này",0
45,Củ Hành,Điều này muốn dạy cho chúng ta 1 bài học là cha chú mà cứ bảo bọc con cháu quá đà thì chúng sẽ ỷ lại và trở nên vô dụng.,0
46,Hoàng Trung Kiên,Ngoài mác con main ra thì nhiều ông còn chả biết goten hiện tại dòng time chính bao nhiêu tuổi :)),0
47,Nguyễn Thế Duyệt,Akira hẹo r còn đâu,0
48,Sang Nguyễn,17 xàm,0
49,Cuong Pham,Xem 2 thằng nhóc dễ thương xỉu mà mấy ông fans bên đấy bị sao í nhỉ ,0
50,Thanh Dat,Như bản này có phải ngonn hong,0
51,Diên Thùy,Mình muốn xem full bộ HD thì xem ở đâu ạ?,0
52,Nguyễn Bảo Chung,Goten đáng yêu.,0
53,Tony Vũ,Bản sao của bố hơi ít đất diễn,0
54,Anh Nguyen,Giờ phản diện nó mạnh quá hết đất diễn,0
55,Viet Khoa,Cả Trunks nx mà mỗi Goten đâu,0
56,Nguyễn van Hieu,"để goku gánh team miết là thấy không ổn , nên để cho những nhân vật khác có đất trình diễn chứ cái có 1 main chính thì khác gì giống mì ăn liền đâu",0
57,Leo Dương,"Tính ra 2 th Goten và Trunk ở dòng thời gian này có tiềm lực kinh khủng hơn cả Gohan ấy. Vì chỉ mới 6-7 tuổi đã lên ssj được rồi. Nếu được huấn luyện bởi cao thủ nữa thì nó còn tiến xa. Chưa kể là trong ng nó dễ gì mà k có ""nguồn sức mạnh ngủ quên"" như Gohan",0
58,Viet Ng,Đất diễn để tấu hài còn nhiều lo j,0
59,Phạm Ngọc Nguyên,Hạ thấp nhất là chọn top ra thi đấu với các vũ trụ khác lại ko bằng cụ Kame. Thua,0
60,Truong Pham Xuan,Tấu hài tốt giọng cute ,0
61,Nguyễn Kỳ,Thề chỉ mong Goten có đất diễn :<,0
62,Hà Thức,"Thằng cha, và thằng anh đã giỏi lại sống vào thời lúc nào cũng giải cứu trái đất. Thằng em sinh ra thời bình, thi thoảng cũng muốn giải cứu trái đất tí mà cha với anh làm hết rồi.",0
63,Nginh Vuyễn,Có future goten thì hay đấy,0
64,Việt Dũng,Thấy thương goten vl,0
65,Lâm Trọng Tín,Tác giả đã từng có ý định cho goten làm nv chính rồi đó thôi do mấy ông phản đối quá nên goten thành như bây h đấy ,0
66,Tô Thái Hà,"Giờ toyo làm tác rồi, bộ truyện kéo dài chục năm nữa cũng ko phải vấn đề",0
67,Đặng Toàn,"Truyện này về sau bị vắt sữa bò nên chuyện này là bình thường.các tuyến nhân vật đời đầu thuộc hàng có số có má cũng bị dẹp bỏ,như yamcha,lý cô nương,bà bói hạt mít,uron..... đều là nhân vật đã bị lãng quên từ lúc đánh nha với cell rồi. Càng ngày giá t… Xem thêm",0
68,Tăng Chí Uy,"Goten lớn lên để tóc xấu hoắc, y chang Yamcha thì sao làm main dc ",0
69,Hồ Ngọc Hoàn,Lích Tên đó. Chất lừ mà.,0
70,Nguyễn Nguyễn, vẫn đề là độc giả chỉ thích Trunk và Goten hợp thể lúc còn nhỏ thôi,0
71,Nguyễn Quỳnh Anh,Nhớ có đợt nào nó hợp thể đánh người ngoài hành tinh ha gì phải k,0
72,Phạm Phương,Giống bố Yamcha như đúc,0
73,Nguyễn Hoàng Long,Càng lớn càng giống Yamcha bị đì đúng rồi :)),0
74,Đan Nguyễn,Tạo vẩn thích thg ku này hơn thằng gohan,0
75,Nguyễn Đạt,Thôi thk cu em về trồng rau cắp sách đj học thôi k mẹ tét đít,0
76,Van Tu Lee,Mai tao za bộ công ăn việt nam internationally,0
77,Calispo Quoc,Cho goten giống ông ngoại với chi chi hơn cho đẹp,0
78,Hoàng Đức Hiếu,Sau khi dòng thời gian của Trunk lớn bị xoá sổ thì nó và Mai đi đâu ấy nhỉ,0
79,Vu Thinh,Yajirobe ko biết ai còn nhớ ko nữa,0
80,Diễm Diễm,"Klq, cho t hỏi ké, Yamcha có phần nào đc toả sáng hk mn",0
81,Nguyễn Hoàng Hải,:)) chờ boruten nhé,0
82,Lâm Nguyên,Đúng ý nghĩa câu nói : Ông già tao lo hết ,0
83,Jonnie Dz,Còn Pan và Bra nữa ,0
84,Phạm Thế Duẫn,"Nhắc đến goten , t mới nghĩ tới đám người saiyan ở vt6 , t nghi bọn đó cũng là con lai của người saiyan với người thường, tiềm lực cực cao , lên ssj như ăn cơm uống nước:))",0
85,Hiep Ta Hoang,Goten vẫn biến hình với Calich mà,0
86,Nguyễn Mạnh Hùng,Có quả Ssj lạm phát đấy còn gì nữa :)),0
87,Tuấn Nguyễn,Tất cả là lỗi của Chichi ,0
88,Quach Huyen Tran,Goten bên Kakumei hơi bị cháy ,0
89,Nguyễn Huy,"Trận vs ma bư tấu hài vs trunk đủ r  h thì qa fm kakumei lên god, bước vào phòng tgian r h đợi ra thui, coi ẻm ngầu lời cở nào",0
90,Nguyễn Tùng,Quả hợp thể vui nhộn không thể quên đó,0
91,Lê Gia Hiếu,Goten cute vl,0
92,Karan Koron,"Nhưng nó đã đc xây dựng là lười tập nên xuống phong độ, mê yêu đương r mà",0
93,Hoàng Kim,Goten New Hope,0
94,Shane Thế,Goten là nhân vật có cũng dc k có chả sao,0
95,Phạm Linh,"Cảm giác xem Goten và Trunks k hay lắm, quá ỷ lại vào hợp thể mà k phát triển j cả. Trunks còn có Future Trunks vớt lại chứ thấy Goten thừa thãi quá",0
96,Bùi Phương Nam,"Nhưng cu còn nhỏ mà, lớn lên chắc chắn sẽ có đất diễn, trunks kia là trunks lớn mà, trunks nhỏ cũng như vậy mà",0
97,Bùi Thanh Phúc,Thk nhỏ cuti z mà k tỏa sáng cho nhỏ lần nèo,0
98,Lồng Phúc,Mây fan bây giờ còn muốn ông Akira vẽ tiếp cơ,0
99,Trần Vũ,Launch là ai. Do hồi nhỏ coi bản Kim Đồng giờ nhiều nv tên lạ quá k biết ,0
100,Thái Phạm,"Goten ssj2 từ DB New Hope. Ở 1 diễn biến khác, ở final kame battle, Gohan đã không thể đánh bại Cell, tất cả các chiến binh Z như Goku, Vegeta, Yamcha, Tien, Picollo, F.Trunk...đều bị giết chỉ còn lại mỗi Krillin vì Cell cho rằng Krillin quá yếu đuối đ… Xem thêm",0
101,Kenny Lor,"bạn cũng biết nói là ngày rộng tháng dài thì từ từ đi, hối cái gì :))) Trunk nhỏ nó cũng có được tỏa sáng đ đâu, thằng trunk kia là Trunk tương lai mà, liên quan đ gì, so sánh ảo v cha :))) còn quái thì toàn thứ dữ, mà đòi tỏa sáng :))) tỏa kiểu nào vớ… Xem thêm",0
102,Hoang Long,"T cũng lạy thằng Ad fan nào phản đối, fan nào áp lực, đưa tin thì đưa tin cho đàng hoàng, cứ đi đưa tin tầm bậy tầm bạ, hết thằng gohan rồi tới goten.",0
103,Toi Vodanh,Để làm gì. Ten nó có chất gì riêng so với anh và bố đâu mà đòi lên main,0
104,Nguyễn Thế Quang,"Ở nhật chấm theo thang điểm 100,còn goten,chỉ 5 điểm =)))",0
105,Master Shipper," mọi người không biết nó sinh mạnh hơn Broly. 7 tuổi sức mạnh 200k , tại sao tác giả nert khét mù vậy. Vậy nên Bi Rồng  thương mại quá cứ chiều theo Fan. Nếu giống Naruto , Goten mạnh mẽ  đến cỡ nào.",0
